full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Matt Miazga,23,Premier League,2015/2016,Defender,Chelsea,136,0,136,USA,2,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0.66,136,68,136,0,0.66,-1,-1,-1,24
Sheyi Ojo,21,Premier League,2015/2016,Midfielder,Liverpool,397,133,264,England,8,2,3,0,0,0,3,2,1,0,0,1,1,0,5,1,4,0,0,0.68,0.68,0,0,0,0,1.13,79,50,0,132,0,278,1,-1,22
Jonathan Leko,19,Premier League,2015/2016,Forward,West Bromwich Albion,271,163,108,England,5,2,1,0,0,0,1,1,0,0,0,1,0,1,5,4,1,0,0,0.33,0.33,0,0,0,0,1.66,54,54,0,271,0,279,17,-1,22
Kevin Toner,22,Premier League,2015/2016,Defender,Aston Villa,314,134,180,Republic of Ireland,4,1,2,0,0,0,1,1,0,0,0,1,1,0,5,1,4,0,0,0.29,0.29,0,0,0,0,1.43,63,79,0,314,0,432,25,122,24
Tom Davies,20,Premier League,2015/2016,Midfielder,Everton,97,97,0,England,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,-1,-1,-1,15
Jack Wilshere,26,Premier League,2015/2016,Midfielder,Arsenal,141,69,72,England,3,1,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0.64,141,47,0,0,0,-1,-1,-1,24
Kieran Dowell,21,Premier League,2015/2016,Midfielder,Everton,72,72,0,England,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,-1,-1,-1,27
Pedro Chirivella Burgos,21,Premier League,2015/2016,Midfielder,Liverpool,46,0,46,Spain,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,3.91,23,46,0,0,0,-1,-1,-1,30
Thomas Robson,23,Premier League,2015/2016,Midfielder,Sunderland,90,0,90,England,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,45,90,0,0,0,-1,-1,-1,17
Rees Greenwood,22,Premier League,2015/2016,Forward,Sunderland,52,0,52,England,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.73,52,52,0,0,0,-1,-1,-1,29
Seydou Doumbia,30,Premier League,2015/2016,Forward,Unknown,29,0,29,Côte d'Ivoire,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3.1,29,10,0,0,0,-1,-1,-1,-1
Shinji Okazaki,32,Premier League,2015/2016,Forward,Leicester City,2071,1034,1037,Japan,36,14,14,5,1,4,0,0,0,0,0,13,8,5,21,10,11,1,0,0.22,0,0.22,0.09,0.35,414,0.91,99,58,2071,0,0.04,89,347,-1,4
