Players,Clubs,Position,Total,Goals,A,Yellow,Yellow - Red,Red,Start,Sub,CO,Off,Pen S,Pen SV,Pen M,Pen C,OG,More
Marvin Sordell,Bolton Wanderers,Forward,3,0,0,0,0,0,0,13,3,0,0,0,0,0,0,More
Raheem Sterling,Liverpool,Midfielder,3,0,0,0,0,0,0,4,3,0,0,0,0,0,0,More
Danny Pugh,Stoke City,Midfielder,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,More
Samir Carruthers,Aston Villa,Midfielder,3,0,0,1,0,0,0,10,3,0,0,0,0,0,0,More
Josh Vela,Bolton Wanderers,Midfielder,3,0,0,1,0,0,0,8,3,0,0,0,0,0,0,More
Patrick Agyemang,Queens Park Rangers,Forward,2,0,0,0,0,0,2,1,0,1,0,0,0,0,0,More
Ross Turnbull,Chelsea,Goalkeeper,2,0,0,0,0,0,2,33,0,0,0,0,1,0,0,More
Brett Emerton,Blackburn Rovers,Defender,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,More
 Hilario,Chelsea,Goalkeeper,2,0,0,0,0,0,2,4,0,0,0,0,0,0,0,More
Sam Hutchinson,Chelsea,Defender,2,0,0,0,0,0,1,7,1,1,0,0,0,0,0,More
Declan Rudd,Norwich City,Goalkeeper,2,0,0,0,0,0,1,19,1,0,0,1,0,0,0,More
Matthew Briggs,Fulham,Defender,2,0,0,0,0,0,1,17,1,0,0,0,0,0,0,More
Jermaine Beckford,Everton,Forward,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,More
 Fabio Aurelio,Liverpool,Defender,2,0,0,0,0,0,1,7,1,1,0,0,0,0,0,More
Rob Hulse,Queens Park Rangers,Forward,2,0,0,0,0,0,1,2,1,1,0,0,0,0,0,More
Danny Higginbotham,Stoke City,Defender,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,More
Chung-Yong Lee,Bolton Wanderers,Midfielder,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,More
Alan Smith,Newcastle United,Forward,2,0,0,1,0,0,0,4,2,0,0,0,0,0,0,More
Henri Lansbury,Arsenal,Midfielder,2,0,0,1,0,0,0,2,2,0,0,0,0,0,0,More
Ryan Noble,Sunderland,Forward,2,0,0,0,0,0,0,5,2,0,0,0,0,0,0,More
Hogan Ephraim,Queens Park Rangers,Forward,2,0,0,0,0,0,0,5,2,0,0,0,0,0,0,More
Callum McManaman,Wigan Athletic,Midfielder,2,0,0,1,0,0,0,5,2,0,0,0,0,0,0,More
Josh Morris,Blackburn Rovers,Defender,2,0,0,0,0,0,0,5,2,0,0,0,0,0,0,More
Jason Puncheon,Queens Park Rangers,Midfielder,2,0,0,0,0,0,0,6,2,0,0,0,0,0,0,More
Tom Huddlestone,Tottenham Hotspur,Midfielder,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,More
Marcel Gecov,Fulham,Midfielder,2,0,0,0,0,0,0,17,2,0,0,0,0,0,0,More
Conor McAleny,Everton,Forward,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,More
Zeki Fryers,Manchester United,Defender,2,0,0,0,0,0,0,5,2,0,0,0,0,0,0,More
